date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:39	57720/57720	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:49%20GMT	https://templates.hibotheme.com/irise/default/about-us.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/about-us.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:39	44726/44726	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:51%20GMT	https://templates.hibotheme.com/irise/default/services-style-one.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/services-style-one.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:40	30745/30745	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:41%20GMT	https://templates.hibotheme.com/irise/default/services-style-two.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/services-style-two.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:40	33658/33658	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:46%20GMT	https://templates.hibotheme.com/irise/default/service-details.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/service-details.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:40	32388/32388	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:45%20GMT	https://templates.hibotheme.com/irise/default/portfolio-style-one.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/portfolio-style-one.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:40	25835/25835	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:48%20GMT	https://templates.hibotheme.com/irise/default/portfolio-style-two.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/portfolio-style-two.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:40	34213/34213	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:44%20GMT	https://templates.hibotheme.com/irise/default/portfolio-details.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/portfolio-details.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:41	41993/41993	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:48%20GMT	https://templates.hibotheme.com/irise/default/team-style-one.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/team-style-one.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:41	40689/40689	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:44%20GMT	https://templates.hibotheme.com/irise/default/team-style-two.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/team-style-two.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
16:32:41	37157/37157	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2007:30:43%20GMT	https://templates.hibotheme.com/irise/default/pricing.html	C:/My%20Web%20Sites/htv-new/templates.hibotheme.com/irise/default/pricing.html	(from https://templates.hibotheme.com/irise/default/index-2.html)
